,Unnamed: 0,Airline,AirlineID,SourceAirport,SourceAirportID,DestAirport,DestAirportID,Codeshare,Stops,Equipment,SourceCountry,DestCountry,MeanPeriod,StdPeriod,Seats
180,47510,QR,4091,LOS,273,DOH,2241,,0,333 332,Nigeria,Qatar,1.0,0.0,242
181,47949,RJ,4259,AMM,2170,LOS,273,,0,320,Jordan,Nigeria,2.2915565447001325,1.861611425059661,181
182,48007,RJ,4259,LOS,273,AMM,2170,,0,320,Nigeria,Jordan,2.2915565447001325,1.861611425059661,181
183,48793,SA,4305,DKR,1084,IAD,3714,,0,343,Senegal,United States,1.058139534883721,0.257657207048377,281
184,48794,SA,4305,DKR,1084,JNB,813,,0,343,Senegal,South Africa,1.055072463768116,0.22812165066609907,281
185,48829,SA,4305,IAD,3714,DKR,1084,,0,343,United States,Senegal,1.037037037037037,0.18885257457750976,281
186,48846,SA,4305,JNB,813,DKR,1084,,0,343,South Africa,Senegal,0.5329428989751098,0.4989135851098046,267
187,48867,SA,4305,JNB,813,LOS,273,,0,343 346,South Africa,Nigeria,0.4885906040268456,0.4998698087337617,302
188,48908,SA,4305,LOS,273,JNB,813,,0,343 346,Nigeria,South Africa,0.4993141289437586,0.4999995295806727,304
189,49304,SD,4521,KAN,270,KRT,1175,,0,AB6,Nigeria,Sudan,7.0,5.428320796219275,275
190,49320,SD,4521,NDJ,999,KAN,270,,0,AB6,Chad,Nigeria,3.0434782608695654,3.0428570794648144,275
191,50627,SS,1908,DKR,1084,ORY,1386,,0,333 330,Senegal,France,5.854838709677419,1.6543859029624601,558
192,50636,SS,1908,ORY,1386,DKR,1084,,0,333 330,France,Senegal,5.854838709677419,1.6543859029624601,558
193,51417,SV,4533,JED,2072,KAN,270,,0,74E,Saudi Arabia,Nigeria,1.5041322314049588,1.2604863743294596,264
194,51456,SV,4533,KAN,270,JED,2072,,0,74E,Nigeria,Saudi Arabia,1.5083333333333333,0.9398212004891616,264
195,52328,TK,4951,DKR,1084,IST,1701,,0,739,Senegal,Turkey,2.3419354838709676,0.5259548573468084,251
196,52550,TK,4951,IST,1701,KAN,270,,0,738 739,Turkey,Nigeria,2.2915565447001325,1.861611425059661,181
197,52577,TK,4951,IST,1701,LOS,273,,0,739,Turkey,Nigeria,1.748792270531401,0.43370774275291685,256
198,52674,TK,4951,KAN,270,NDJ,999,,0,738,Nigeria,Chad,2.2915565447001325,1.861611425059661,181
