,Country,Deaths,E,F,H,I,OnsetCases,R,S
0,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441790.0
1,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441790.0
2,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441641.0
3,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441642.0
4,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441432.0
5,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440837.5
6,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441282.0
7,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441475.5
8,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440876.0
9,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440735.5
10,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440696.5
11,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440406.0
12,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440222.5
13,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440066.5
14,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440197.5
15,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440611.0
16,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440464.5
17,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439995.5
18,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440042.0
19,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440429.5
20,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440721.0
21,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440520.5
22,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440452.0
23,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440287.5
24,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440047.0
25,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439967.0
26,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440198.0
27,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440159.0
28,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440314.5
29,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439517.0
30,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439433.0
31,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439851.5
32,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439492.5
33,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439467.0
34,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439703.5
35,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440058.5
36,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439858.0
37,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440166.0
38,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440483.5
39,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440385.5
40,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440420.0
41,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441184.0
42,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441335.0
43,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441551.0
44,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441034.5
45,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441023.0
46,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440980.5
47,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440995.0
48,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441077.0
49,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441855.0
50,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442126.0
51,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442051.0
52,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441935.5
53,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441888.0
54,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441700.0
55,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441171.0
56,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441744.0
57,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441804.0
58,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441646.0
59,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441395.0
60,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441387.0
61,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441448.5
62,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441300.0
63,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441597.0
64,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441729.0
65,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441380.0
66,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441240.5
67,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441885.0
68,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441581.0
69,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441182.5
70,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441678.0
71,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441658.5
72,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441876.0
73,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441653.0
74,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442092.0
75,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442288.0
76,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442657.5
77,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442566.5
78,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442684.5
79,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442723.0
80,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442574.0
81,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443365.0
82,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443760.0
83,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443544.5
84,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443537.0
85,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443494.0
86,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443530.5
87,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443636.0
88,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444275.0
89,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445243.5
90,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445245.5
91,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444948.0
92,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445139.5
93,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445846.0
94,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445989.5
95,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445869.0
96,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445384.5
97,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445448.0
98,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445565.5
99,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445432.5
100,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445351.5
101,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445477.0
102,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445013.5
103,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444750.0
104,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445231.0
105,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444858.0
106,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443544.0
107,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443023.0
108,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443389.0
109,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443410.5
110,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443584.5
111,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443264.0
112,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443301.0
113,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443348.0
114,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443049.5
115,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443315.5
116,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443023.0
117,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443514.0
118,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443852.0
119,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444034.5
120,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444395.0
121,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443808.5
122,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443462.5
123,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443698.5
124,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443843.5
125,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443642.0
126,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443166.0
127,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443609.5
128,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443363.5
129,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443739.0
130,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444010.0
131,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443985.5
132,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443750.0
133,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443901.0
134,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444183.0
135,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443727.0
136,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443858.0
137,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443156.5
138,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443003.5
139,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442609.5
140,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442855.0
141,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443214.5
142,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442417.5
143,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442557.5
144,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442526.0
145,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442436.0
146,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442385.0
147,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442596.0
148,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442381.0
149,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442451.0
150,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442797.5
151,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442364.0
152,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442886.0
153,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442518.5
154,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442966.0
155,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443211.5
156,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443761.5
157,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443788.0
158,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443866.0
159,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444013.0
160,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443767.0
161,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443453.5
162,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443338.5
163,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443509.5
164,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443105.5
165,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443333.5
166,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442874.5
167,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443380.0
168,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443869.5
169,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444054.5
170,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443867.5
171,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444482.5
172,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444545.0
173,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444426.0
174,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444641.5
175,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443664.0
176,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444200.0
177,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444545.5
178,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444702.5
179,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444657.0
180,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3444833.5
181,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440053.0
182,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440053.0
183,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439823.0
184,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439900.0
185,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440031.0
186,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439697.0
187,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440023.0
188,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440175.0
189,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439968.0
190,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439858.5
191,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439726.5
192,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439982.0
193,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439643.5
194,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439959.0
195,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439848.0
196,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439803.5
197,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439911.5
198,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440025.0
199,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440654.5
200,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440325.5
201,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440127.5
202,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440233.5
203,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440460.5
204,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440829.0
205,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441029.5
206,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441337.0
207,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441416.5
208,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441826.5
